,course_id,course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,subject,year
378,1053272,The Financial Analyst Skills Training (FAST) course 2017,True,100,589,31,138,All Levels,10.0,Business Finance,2017
379,1273896,Covered Calls - Powerful Income Strategy for Stock Traders,True,60,22,0,8,Beginner Level,1.0,Business Finance,2017
380,317572,Accounting 1 Simplified for You,True,45,2490,95,13,Beginner Level,3.0,Business Finance,2014
381,738910,[Value Investing] Where White People Keep Their Money,True,200,2715,70,20,Expert Level,4.0,Business Finance,2016
382,1015274,How to Start Investing: Made Simple and Easy,True,200,1506,12,12,All Levels,1.0,Business Finance,2016
383,934574,Basics of Commerce A Complete Study,True,150,2197,4,105,All Levels,5.5,Business Finance,2016
384,1110470,The Passive Investing Blueprint - Build Wealth Passively,True,200,338,32,66,All Levels,3.5,Business Finance,2017
385,988804,7 Steps: Your Introduction to Trading,True,25,1076,22,176,Beginner Level,5.0,Business Finance,2016
386,529718,Forex - Elliott Wave Theory with Fibonacci. ,True,20,2769,54,32,All Levels,1.5,Business Finance,2015
387,998872,The Actuarial Profession: Basic Sciences and Principles,True,25,1531,6,7,Beginner Level,0.5833333333333334,Business Finance,2016
388,1023670,Investing in stocks: Avoid stock market loss,True,125,1136,12,13,Beginner Level,1.0,Business Finance,2016
389,571394,QuickBooks Online: Complete Guide & Certification tips,True,50,2187,218,91,All Levels,13.0,Business Finance,2015
390,637176,Build Financial Models & Value Companies The Easy Way,True,20,1609,137,18,All Levels,1.0,Business Finance,2015
391,677802,Adventure Capital: How to pay off debt ,True,20,2895,56,14,Beginner Level,1.0,Business Finance,2015
392,1084642,Chart Patterns Trading Demystified,True,200,1023,8,29,All Levels,2.5,Business Finance,2017
393,739390,Financial Planning & Analysis: Building a Company's Budget,True,150,1988,137,27,All Levels,1.5,Business Finance,2016
394,1134864,Simple things you must know before start FOREX (OFFER),True,200,1053,20,15,Beginner Level,0.7333333333333333,Business Finance,2017
395,489146,Practical Finance,True,20,4497,281,11,All Levels,1.0,Business Finance,2015
396,910650,Forex Trading: Comprehensive & Concise Forex Trading Course,True,160,2379,33,44,All Levels,3.5,Business Finance,2016
397,1079040,Leaps Options Trading System - Diagonal Leaps Options Spread,True,200,993,19,16,All Levels,1.0,Business Finance,2017
398,109622,Finance - Ratios Analysis & Interpretations,True,30,10338,52,41,Beginner Level,2.5,Business Finance,2013
